ROME|famille|domaine|metier|label|slugs|famille_label|domaine_label
A1101|A|11|01|Conduite d'engins agricoles et forestiers|conduite-d-engins-agricoles-et-forestiers|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Engins agricoles et forestiers
A1201|A|12|01|Bûcheronnage et élagage|bucheronnage-et-elagage|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Espaces naturels et espaces verts
A1202|A|12|02|Entretien des espaces naturels|entretien-des-espaces-naturels|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Espaces naturels et espaces verts
A1203|A|12|03|Entretien des espaces verts|entretien-des-espaces-verts|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Espaces naturels et espaces verts
A1204|A|12|04|Protection du patrimoine naturel|protection-du-patrimoine-naturel|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Espaces naturels et espaces verts
A1205|A|12|05|Sylviculture|sylviculture|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Espaces naturels et espaces verts
A1301|A|13|01|Conseil et assistance technique en agriculture|conseil-et-assistance-technique-en-agriculture|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Etudes et assistance technique
A1302|A|13|02|Contrôle et diagnostic technique en agriculture|controle-et-diagnostic-technique-en-agriculture|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Etudes et assistance technique
A1303|A|13|03|Ingénierie en agriculture et environnement naturel|ingenierie-en-agriculture-et-environnement-naturel|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Etudes et assistance technique
A1401|A|14|01|Aide agricole de production fruitière ou viticole|aide-agricole-de-production-fruitiere-ou-viticole|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1402|A|14|02|Aide agricole de production légumière ou végétale|aide-agricole-de-production-legumiere-ou-vegetale|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1403|A|14|03|Aide d'élevage agricole et aquacole|aide-d-elevage-agricole-et-aquacole|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1404|A|14|04|Aquaculture|aquaculture|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1405|A|14|05|Arboriculture et viticulture|arboriculture-et-viticulture|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1406|A|14|06|Encadrement équipage de la pêche|encadrement-equipage-de-la-peche|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1407|A|14|07|Élevage bovin ou équin|elevage-bovin-ou-equin|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1408|A|14|08|Élevage d'animaux sauvages ou de compagnie|elevage-d-animaux-sauvages-ou-de-compagnie|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1409|A|14|09|Élevage de lapins et volailles|elevage-de-lapins-et-volailles|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1410|A|14|10|Élevage ovin ou caprin|elevage-ovin-ou-caprin|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1411|A|14|11|Élevage porcin|elevage-porcin|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1412|A|14|12|Fabrication et affinage de fromages|fabrication-et-affinage-de-fromages|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1413|A|14|13|Fermentation de boissons alcoolisées|fermentation-de-boissons-alcoolisees|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1414|A|14|14|Horticulture et maraîchage|horticulture-et-maraichage|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1415|A|14|15|Equipage de la pêche|equipage-de-la-peche|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1416|A|14|16|Polyculture, élevage|polyculture-elevage|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1417|A|14|17|Saliculture|saliculture|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Production
A1501|A|15|01|Aide aux soins animaux|aide-aux-soins-animaux|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Soins aux animaux
A1502|A|15|02|Podologie animale|podologie-animale|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Soins aux animaux
A1503|A|15|03|Toilettage des animaux|toilettage-des-animaux|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Soins aux animaux
A1504|A|15|04|Santé animale|sante-animale|AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX|Soins aux animaux
B1101|B|11|01|Création en arts plastiques|creation-en-arts-plastiques|ARTS ET FACONNAGE D'OUVRAGES D'ART|Arts plastiques
B1201|B|12|01|Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse|realisation-d-objets-decoratifs-et-utilitaires-en-ceramique-et-materiaux-de-synthese|ARTS ET FACONNAGE D'OUVRAGES D'ART|Céramique
B1301|B|13|01|Décoration d'espaces de vente et d'exposition|decoration-d-espaces-de-vente-et-d-exposition|ARTS ET FACONNAGE D'OUVRAGES D'ART|Décoration
B1302|B|13|02|Décoration d'objets d'art et artisanaux|decoration-d-objets-d-art-et-artisanaux|ARTS ET FACONNAGE D'OUVRAGES D'ART|Décoration
B1303|B|13|03|Gravure - ciselure|gravure-ciselure|ARTS ET FACONNAGE D'OUVRAGES D'ART|Décoration
B1401|B|14|01|Réalisation d'objets en lianes, fibres et brins végétaux|realisation-d-objets-en-lianes-fibres-et-brins-vegetaux|ARTS ET FACONNAGE D'OUVRAGES D'ART|Fibres et papier
B1402|B|14|02|Reliure et restauration de livres et archives|reliure-et-restauration-de-livres-et-archives|ARTS ET FACONNAGE D'OUVRAGES D'ART|Fibres et papier
B1501|B|15|01|Fabrication et réparation d'instruments de musique|fabrication-et-reparation-d-instruments-de-musique|ARTS ET FACONNAGE D'OUVRAGES D'ART|Instruments de musique
B1601|B|16|01|Métallerie d'art|metallerie-d-art|ARTS ET FACONNAGE D'OUVRAGES D'ART|Métal, verre, bijouterie et horlogerie
B1602|B|16|02|Réalisation d'objets artistiques et fonctionnels en verre|realisation-d-objets-artistiques-et-fonctionnels-en-verre|ARTS ET FACONNAGE D'OUVRAGES D'ART|Métal, verre, bijouterie et horlogerie
B1603|B|16|03|Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie|realisation-d-ouvrages-en-bijouterie-joaillerie-et-orfevrerie|ARTS ET FACONNAGE D'OUVRAGES D'ART|Métal, verre, bijouterie et horlogerie
B1604|B|16|04|Réparation - montage en systèmes horlogers|reparation-montage-en-systemes-horlogers|ARTS ET FACONNAGE D'OUVRAGES D'ART|Métal, verre, bijouterie et horlogerie
B1701|B|17|01|Conservation et reconstitution d'espèces animales|conservation-et-reconstitution-d-especes-animales|ARTS ET FACONNAGE D'OUVRAGES D'ART|Taxidermie
B1801|B|18|01|Réalisation d'articles de chapellerie|realisation-d-articles-de-chapellerie|ARTS ET FACONNAGE D'OUVRAGES D'ART|Tissu et cuirs
B1802|B|18|02|Réalisation d'articles en cuir et matériaux souples (hors vêtement)|realisation-d-articles-en-cuir-et-materiaux-souples-hors-vetement|ARTS ET FACONNAGE D'OUVRAGES D'ART|Tissu et cuirs
B1803|B|18|03|Réalisation de vêtements sur mesure ou en petite série|realisation-de-vetements-sur-mesure-ou-en-petite-serie|ARTS ET FACONNAGE D'OUVRAGES D'ART|Tissu et cuirs
B1804|B|18|04|Réalisation d'ouvrages d'art en fils|realisation-d-ouvrages-d-art-en-fils|ARTS ET FACONNAGE D'OUVRAGES D'ART|Tissu et cuirs
B1805|B|18|05|Stylisme|stylisme|ARTS ET FACONNAGE D'OUVRAGES D'ART|Tissu et cuirs
B1806|B|18|06|Tapisserie - décoration en ameublement|tapisserie-decoration-en-ameublement|ARTS ET FACONNAGE D'OUVRAGES D'ART|Tissu et cuirs
C1101|C|11|01|Conception - développement produits d'assurances|conception-developpement-produits-d-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1102|C|11|02|Conseil clientèle en assurances|conseil-clientele-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1103|C|11|03|Courtage en assurances|courtage-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1104|C|11|04|Direction d'exploitation en assurances|direction-d-exploitation-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1105|C|11|05|Études actuarielles en assurances|etudes-actuarielles-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1106|C|11|06|Expertise risques en assurances|expertise-risques-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1107|C|11|07|Indemnisations en assurances|indemnisations-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1108|C|11|08|Management de groupe et de service en assurances|management-de-groupe-et-de-service-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1109|C|11|09|Rédaction et gestion en assurances|redaction-et-gestion-en-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1110|C|11|10|Souscription d'assurances|souscription-d-assurances|BANQUE, ASSURANCE, IMMOBILIER|Assurance
C1201|C|12|01|Accueil et services bancaires|accueil-et-services-bancaires|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1202|C|12|02|Analyse de crédits et risques bancaires|analyse-de-credits-et-risques-bancaires|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1203|C|12|03|Relation clients banque/finance|relation-clients-banque-finance|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1204|C|12|04|Conception et expertise produits bancaires et financiers|conception-et-expertise-produits-bancaires-et-financiers|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1205|C|12|05|Conseil en gestion de patrimoine financier|conseil-en-gestion-de-patrimoine-financier|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1206|C|12|06|Gestion de clientèle bancaire|gestion-de-clientele-bancaire|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1207|C|12|07|Management en exploitation bancaire|management-en-exploitation-bancaire|BANQUE, ASSURANCE, IMMOBILIER|Banque
C1301|C|13|01|Front office marchés financiers|front-office-marches-financiers|BANQUE, ASSURANCE, IMMOBILIER|Finance
C1302|C|13|02|Gestion back et middle-office marchés financiers|gestion-back-et-middle-office-marches-financiers|BANQUE, ASSURANCE, IMMOBILIER|Finance
C1303|C|13|03|Gestion de portefeuilles sur les marchés financiers|gestion-de-portefeuilles-sur-les-marches-financiers|BANQUE, ASSURANCE, IMMOBILIER|Finance
C1401|C|14|01|Gestion en banque et assurance|gestion-en-banque-et-assurance|BANQUE, ASSURANCE, IMMOBILIER|Gestion administrative banque et assurances
C1501|C|15|01|Gérance immobilière|gerance-immobiliere|BANQUE, ASSURANCE, IMMOBILIER|Immobilier
C1502|C|15|02|Gestion locative immobilière|gestion-locative-immobiliere|BANQUE, ASSURANCE, IMMOBILIER|Immobilier
C1503|C|15|03|Management de projet immobilier|management-de-projet-immobilier|BANQUE, ASSURANCE, IMMOBILIER|Immobilier
C1504|C|15|04|Transaction immobilière|transaction-immobiliere|BANQUE, ASSURANCE, IMMOBILIER|Immobilier
D1101|D|11|01|Boucherie|boucherie|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1102|D|11|02|Boulangerie - viennoiserie|boulangerie-viennoiserie|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1103|D|11|03|Charcuterie - traiteur|charcuterie-traiteur|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1104|D|11|04|Pâtisserie, confiserie, chocolaterie et glacerie|patisserie-confiserie-chocolaterie-et-glacerie|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1105|D|11|05|Poissonnerie|poissonnerie|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1106|D|11|06|Vente en alimentation|vente-en-alimentation|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1107|D|11|07|Vente en gros de produits frais|vente-en-gros-de-produits-frais|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce alimentaire et métiers de bouche
D1201|D|12|01|Achat vente d'objets d'art, anciens ou d'occasion|achat-vente-d-objets-d-art-anciens-ou-d-occasion|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce non alimentaire et de prestations de confort
D1202|D|12|02|Coiffure|coiffure|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce non alimentaire et de prestations de confort
D1203|D|12|03|Hydrothérapie|hydrotherapie|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce non alimentaire et de prestations de confort
D1204|D|12|04|Location de véhicules ou de matériel de loisirs|location-de-vehicules-ou-de-materiel-de-loisirs|COMMERCE, VENTE ET GRANDE DISTRIBUTION|Commerce non alimentaire et de prestations de confort
